"","xwoba_bin","xwoba","field_out","strikeout","single","walk","double","home_run","force_out","grounded_into_double_play","hit_by_pitch","field_error","sac_fly","triple"
"35",54,0.369177692355765,0.401099110983549,0.174554198541227,0.15077547464223,0.0968087677251137,0.0529255394796961,0.0448804658729737,0.0192766547871944,0.0209479206307796,0.0124643210892415,0.00539702715670537,0.00786256201525162,0.0037473959278598
"36",55,0.374127348625556,0.400337495965113,0.172874746855322,0.150330282613152,0.0988423076307768,0.0525164518095741,0.046381037861531,0.0191861362504013,0.0213292208406396,0.0124460098404068,0.00513427644445761,0.00794349045174615,0.00363174495116806
"37",56,0.379094156657815,0.399685958565251,0.170684576126501,0.15008416468385,0.100843396204644,0.0523090975687747,0.0479954029093089,0.0190581760389291,0.0215941911707452,0.0121909148877407,0.00518240101804797,0.00793693427070483,0.00350582585003707
"38",57,0.383904203401385,0.399047488239719,0.16800481973372,0.149997671824099,0.102817398378633,0.052328292590334,0.0497839119570785,0.018900313895892,0.0217662306762949,0.011709994958918,0.00554072402920729,0.00782771474106191,0.00337302740475688
"39",58,0.388866405186654,0.39845106854336,0.16531151962125,0.149886113103915,0.10484085751816,0.0523303240229228,0.0516072345534277,0.0187504891670603,0.0218956262312284,0.0111098207340938,0.00603810668681036,0.00767587548421549,0.00320979244908038
"40",59,0.393681527618977,0.398260507575063,0.162198245306925,0.149987410006533,0.106859237899227,0.0523824200168949,0.0533084849683523,0.0185648750283344,0.0218852670752164,0.0102996609740077,0.00678746050221887,0.00750248233827197,0.00300726939265325
"41",60,0.398602835951833,0.398525226395459,0.15863835453174,0.150318030488861,0.108870465494342,0.0524819223248448,0.0548580639641709,0.018340985319105,0.0217253476362217,0.00927390374574772,0.00779557568488954,0.00731367197930008,0.00276209415873701
"42",61,0.403560222446297,0.399045668432558,0.154846278377498,0.150757442810493,0.11090223372944,0.0525968477833015,0.0563435154504595,0.0181004393538783,0.0214615217315835,0.00807623626633336,0.00900564015079299,0.00709707883556375,0.00248099188826619
"43",62,0.408643190051446,0.399812175336329,0.150777196373245,0.151338068908688,0.11294465806066,0.0527504371685197,0.0577836684181,0.0178355685212278,0.0210798676850369,0.00668987602140129,0.0104351619710618,0.00684601537346216,0.00217024481739604
"44",63,0.413391321385103,0.4008736568055,0.14630275496666,0.152135820941779,0.114979570626877,0.052979174497634,0.0591750921263642,0.0175299368611237,0.0205587094732508,0.00508684828723516,0.0121206246825971,0.00655526762936811,0.00183475597656702
